__bt_assignments,classifications,comments,created,expected,facets,input,metadata,metrics,output,name,tags
,,,2026-08-21T04:40:09.708Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-15-in-tool-calls-eval""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":121,""cost_usd"":null,""duration"":0.0017981529235839844,""end"":1787287209.7098007,""errors"":0,""estimated_cost"":null,""latency_s"":1.61,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1545,""start"":1787287209.7080026,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1666}","{""rationale"":""Câu trả lời của tutor hoàn toàn bám sát nguồn được trích dẫn (ai-evals-m12, c-response-handling). Ba mẫu kiểm tra response handling (Faithful interpretation, Error handling, Multi-tool synthesis) được dịch và giải thích chính xác, rõ ràng bằng tiếng Việt mà không bịa đặt hay thêm thắt thông tin, số liệu ngoài nguồn. Scope được xác định đúng."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:40:03.090Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-14-in-regression""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":94,""cost_usd"":null,""duration"":0.001245260238647461,""end"":1787287203.091999,""errors"":0,""estimated_cost"":null,""latency_s"":1.52,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1933,""start"":1787287203.0907538,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":2027}","{""rationale"":""Câu trả lời của tutor hoàn toàn bám sát các nguồn được trích dẫn. Các khái niệm về regression testing, mục tiêu tỷ lệ đậu gần 100%, việc loại bỏ QA thủ công và quy trình xử lý lỗi từ production đều có minh chứng rõ ràng trong các sources."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:39:56.562Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-13-in-notion""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":176,""cost_usd"":null,""duration"":0.0012536048889160156,""end"":1787287196.563383,""errors"":0,""estimated_cost"":null,""latency_s"":2.49,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1494,""start"":1787287196.5621295,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1670}","{""rationale"":""Answer đưa ra các số liệu và lý do cụ thể (hơn 100 triệu người dùng, 60% không nói tiếng Anh, 100% kỹ sư nói tiếng Anh, hệ thống evals tự động phát hiện regression) hoàn toàn không có trong source quote được trích dẫn (quote chỉ chứa các cụm từ ngắn gọn: '100M+', '60%', '< 1 ngày', v.v. và không giải thích chi tiết các lý do trên). Đây là lỗi bịa đặt hoặc đưa thông tin ngoài sources."",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:39:49.066Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-12-in-prd-ai""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":188,""cost_usd"":null,""duration"":0.00109100341796875,""end"":1787287189.0670877,""errors"":0,""estimated_cost"":null,""latency_s"":1.79,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1556,""start"":1787287189.0659966,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1744}","{""rationale"":""Answer đưa ra quá nhiều chi tiết cụ thể (Evaluation Rubric, Golden Outputs, Prompt Logic & Tools, Dataset Strategy, Edge Case Handling, latency, pass/fail rubric, API tools...) nhưng nguồn (source quote) chỉ có một câu duy nhất: 'PRD cho sản phẩm AI cần thêm bốn mục — và một mục mới hẳn'. Tutor đã bịa ra hoặc suy diễn quá nhiều thông tin chuyên môn không có sự hỗ trợ của source quote."",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:39:42.269Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-11-in-expert-loop""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":191,""cost_usd"":null,""duration"":0.001538991928100586,""end"":1787287182.2705734,""errors"":0,""estimated_cost"":null,""latency_s"":1.63,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1671,""start"":1787287182.2690344,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1862}","{""rationale"":""Answer tự suy diễn và đưa thêm rất nhiều thông tin, số liệu, ví dụ không có trong source quote (như 'độ tin cậy: 0.86 → trượt', 'downside gấp ~4 lần upside', 'chi phí bất đồng',...). Mặc dù các ý này có thể đúng về mặt chuyên môn, nhưng nó vượt quá nội dung rất ngắn gọn của source quote, vi phạm tiêu chí groundedness."",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:39:35.636Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-10-in-swiss-cheese""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":115,""cost_usd"":null,""duration"":0.0012104511260986328,""end"":1787287175.637346,""errors"":0,""estimated_cost"":null,""latency_s"":1.4,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1722,""start"":1787287175.6361356,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1837}","{""rationale"":""Câu trả lời bám sát nguồn từ cả slide và tài liệu Anthropic. Việc giải thích mô hình Swiss Cheese kết hợp các lớp kiểm tra (Code-based Evals, LLM Judge, Human review) và đưa ra ví dụ minh họa là sự diễn giải hợp lý dựa trên ý nghĩa của mô hình phòng vệ Swiss Cheese, không bịa đặt số liệu hay thông tin trái nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:39:29.231Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-09-in-golden-outputs""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":107,""cost_usd"":null,""duration"":0.0011434555053710938,""end"":1787287169.2327263,""errors"":0,""estimated_cost"":null,""latency_s"":1.51,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1706,""start"":1787287169.2315829,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1813}","{""rationale"":""Câu trả lời bám sát các nguồn được cung cấp. Các định nghĩa về Golden Outputs, việc neo giữ chất lượng thông qua ví dụ mạnh/yếu, cũng như việc sử dụng reference dataset cho few-shot và evals đều được hỗ trợ trực tiếp từ các quote trong sources. Không có thông tin bịa đặt hay suy diễn ngoài nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:39:22.719Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-08-in-vibe-check""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":196,""cost_usd"":null,""duration"":0.0014047622680664062,""end"":1787287162.7207043,""errors"":0,""estimated_cost"":null,""latency_s"":1.55,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1655,""start"":1787287162.7192996,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1851}","{""rationale"":""Answer đưa ra các chi tiết cụ thể như '10–30 đầu vào bao phủ nhiều persona và use case', các bước chi tiết (Generate inputs, Run prototype, Label outputs, Note patterns) kèm theo nhãn (Ship, Chỉnh sửa, Fail) và hệ quả ('seeds your PRD', 'golden outputs') không hề có trong các source quote được cung cấp. Source quote chỉ nêu các tiêu đề bước rất ngắn gọn mà không có các giải thích chi tiết và số liệu này."",""verdict"":""fail""}",judge-run,[]
,,,2026-08-21T04:39:16.167Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-07-in-flywheel""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":120,""cost_usd"":null,""duration"":0.0008559226989746094,""end"":1787287156.1685095,""errors"":0,""estimated_cost"":null,""latency_s"":1.51,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1675,""start"":1787287156.1676536,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1795}","{""rationale"":""Câu trả lời của tutor hoàn toàn bám sát nguồn (sources) được cung cấp, giải thích đúng định nghĩa về AI Flywheel và các bước trong vòng lặp theo đúng tài liệu (ai-evals-m01 và slide-day19-20). Việc diễn giải giúp học viên dễ hiểu hơn nhưng không làm sai lệch hay bịa đặt thêm số liệu/thông tin ngoài nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:39:09.655Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-06-in-confusion-matrix""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":94,""cost_usd"":null,""duration"":0.0015778541564941406,""end"":1787287149.6573563,""errors"":0,""estimated_cost"":null,""latency_s"":1.32,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1829,""start"":1787287149.6557784,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1923}","{""rationale"":""Câu trả lời bám sát nguồn, định nghĩa chính xác về confusion matrix, TPR và TNR theo đúng các quote trong sources. Phần giải thích thêm (như leniency bias) không mâu thuẫn với nguồn và nằm trong phạm vi diễn giải hợp lý cho học viên."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:39:03.324Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-05-in-pass-rate""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":122,""cost_usd"":null,""duration"":0.0015480518341064453,""end"":1787287143.3262386,""errors"":0,""estimated_cost"":null,""latency_s"":1.45,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1646,""start"":1787287143.3246906,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1768}","{""rationale"":""Câu trả lời của tutor hoàn toàn bám sát nguồn từ slide s48. Các ví dụ về gợi ý nội dung sáng tạo (80%), email draft có human review (90%), và tư vấn y tế/tài chính (99.9% / thảm họa) đều có mặt trực tiếp trong quote của nguồn, chỉ được diễn giải lại cho mượt mà, dễ hiểu đối với học viên."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:38:56.870Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-04-in-code-vs-judge""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":126,""cost_usd"":null,""duration"":0.0009567737579345703,""end"":1787287136.8713567,""errors"":0,""estimated_cost"":null,""latency_s"":1.5,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1674,""start"":1787287136.8704,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1800}","{""rationale"":""Câu trả lời bám sát nguồn được cung cấp. Các khái niệm về code-based eval và LLM-as-Judge được giải thích dựa trên các trích dẫn từ nguồn (nhanh hơn, rẻ hơn, ưu tiên làm mặc định khi có thể dùng rule, code, regex), đồng thời mở rộng diễn giải một cách hợp lý giúp học viên dễ hiểu mà không bịa đặt thêm số liệu hoặc thông tin sai lệch ngoài nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:38:50.363Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-03-in-input-grid""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":123,""cost_usd"":null,""duration"":0.002226114273071289,""end"":1787287130.3654907,""errors"":0,""estimated_cost"":null,""latency_s"":1.7,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1848,""start"":1787287130.3632646,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1971}","{""rationale"":""Câu trả lời bám sát nguồn được cung cấp. Tutor đã định nghĩa chính xác User Input Grid, nêu đúng các chiều phổ biến (Persona, User Intent, ngữ cảnh, ngôn ngữ) dựa trên các nguồn từ ai-evals-m04 và slide-day19-20. Các ví dụ đưa ra mang tính chất minh họa hợp lý, không bịa đặt số liệu hay thông tin trái lệch nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:38:43.660Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-02-in-trace-codes""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":123,""cost_usd"":null,""duration"":0.001737356185913086,""end"":1787287123.6624985,""errors"":0,""estimated_cost"":null,""latency_s"":1.44,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1706,""start"":1787287123.660761,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1829}","{""rationale"":""Câu trả lời của tutor hoàn toàn bám sát các nguồn được cung cấp. Định nghĩa về trace codes và lý do phải chuẩn hoá notes thành trace codes đều được hỗ trợ trực tiếp từ các nguồn ai-evals-m04 và slide-day19-20. Các phần diễn giải thêm mang tính giải thích, làm rõ cho học viên và không chứa các thông tin hay số liệu bịa đặt ngoài nguồn."",""verdict"":""pass""}",judge-run,[]
,,,2026-08-21T04:38:37.213Z,,,"{""judge_model"":""gemini/gemini-3.5-flash-lite"",""scenario_id"":""sc-01-in-calibration""}",,"{""cached"":null,""completion_reasoning_tokens"":0,""completion_tokens"":108,""cost_usd"":null,""duration"":0.001459360122680664,""end"":1787287117.2152574,""errors"":0,""estimated_cost"":null,""latency_s"":1.65,""llm_calls"":0,""llm_duration"":null,""llm_errors"":0,""prompt_cache_creation_1h_tokens"":0,""prompt_cache_creation_5m_tokens"":0,""prompt_cache_creation_tokens"":0,""prompt_cached_tokens"":0,""prompt_tokens"":1867,""start"":1787287117.213798,""time_to_first_token"":null,""tool_calls"":0,""tool_errors"":0,""total_tokens"":1975}","{""rationale"":""Câu trả lời bám sát nguồn, giải thích rõ khái niệm calibration, lý do cần thiết và hậu quả của việc không calibrate dựa trên các trích dẫn trong corpus. Các thuật ngữ mở rộng như confusion matrix, TPR, TNR là sự diễn giải logic trong phạm vi nội dung bài học mà không bịa đặt thêm dữ liệu hay số liệu mới."",""verdict"":""pass""}",judge-run,[]
